Day fraction since midnight on 	PH (pH)
0.65621	4.46464968
0.65622162	4.47291899
0.65623319	4.45152998
0.65624417	4.470438
0.65625634	4.41120481
0.65626794	4.38862991
0.65627949	4.41216898
0.656291	4.39596224
0.65630206	4.40439701
0.65631419	4.37840462
0.65632572	4.38824415
0.65633731	4.41126871
0.65634836	4.38559818
0.65636046	4.36914253
0.65637211	4.34496975
0.65638361	4.34849787
0.65639523	4.32718277
0.65640678	4.31627703
0.65641833	4.30875158
0.65642937	4.32314014
0.65644093	4.32881832
0.65645306	4.28463411
0.65646468	4.28453255
0.65647569	4.25340509
0.6564878	4.28251171
0.65649938	4.26572561
0.65651044	4.2364254
0.65652248	4.26649761
0.65653407	4.26149035
0.65654514	4.26472425
0.65655671	4.20224762
0.65656882	4.18932009
0.65657988	4.19114876
0.65659144	4.21536684
0.65660356	4.22405005
0.65661454	4.16886759
0.65662616	4.16123343
0.65663826	4.18179512
0.65664926	4.1480298
0.65666144	4.13954115
0.65667301	4.14494276
0.65668454	4.15497589
0.6566956	4.180233
0.65670771	4.19819546
0.65671875	4.08644485
0.65673083	4.16809559
0.6567419	4.1854887
0.65675347	4.16539574
0.6567656	4.09072638
0.65677713	4.14841652
0.65678817	4.14223289
0.6568003	4.13375235
0.6568119	4.10140228
0.65682294	4.10059357
0.65683447	4.15459013
0.65684655	4.14069796
0.65685817	4.16123295
0.65686921	4.18811655
0.65688081	4.08300829
0.65689234	4.15111732
0.65690444	4.12757826
0.65691549	4.16183996
0.65692706	4.1655879
0.65693919	4.13471746
0.65695023	4.1303072
0.65696181	4.1308589
0.65697338	4.0972867
0.65698495	4.06467867
0.6569965	4.09091902
0.65700812	4.08442307
0.6570197	4.06911659
0.65703125	4.07953596
0.65704333	4.05927658
0.65705442	4.09048748
0.65706593	4.08551693
